t,p,n,nu_0,mu,gamma,no_edges,bic value,Precision_1,Precision_2,Precision_3,precision_avg,Recall_1,Recall_2,Recall_3,recall_avg,F1_1,F1_2,F1_3,F1_avg,Time(sec),mask_diag
3,65,1000,0.0001,3.180625692794119e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.477693557739258,True
3,65,1000,0.0001,3.570785964900463e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4527411460876465,True
3,65,1000,0.0001,4.0088063288984644e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.471017837524414,True
3,65,1000,0.0001,4.5005576757004975e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4536025524139404,True
3,65,1000,0.0001,5.05263106533568e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.454955816268921,True
3,65,1000,0.0001,5.672426068491978e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4538397789001465,True
3,65,1000,0.0001,6.368249944718587e-08,1,6234.0,177825.19454671815,0.2492179353493222,0.2745302713987474,0.30031282586027114,0.27468706536856746,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4619085805934242,0.43086992091628035,2.451822519302368,True
3,65,1000,0.0001,7.149428986597577e-08,1,6234.0,177825.19454671815,0.2492179353493222,0.2745302713987474,0.30031282586027114,0.27468706536856746,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4619085805934242,0.43086992091628035,2.411738634109497,True
3,65,1000,0.0001,8.026433522257174e-08,1,6233.0,177825.19454725014,0.2492179353493222,0.27481713688610243,0.30031282586027114,0.2747826086956522,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.4619085805934242,0.43098745226404805,2.4830636978149414,True
3,65,1000,0.0001,9.011018251665018e-08,1,6233.0,177825.19454725014,0.2492179353493222,0.27481713688610243,0.30031282586027114,0.2747826086956522,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.4619085805934242,0.43098745226404805,2.4542644023895264,True
3,65,1000,0.0001,1.011637979766207e-07,1,6233.0,177825.19454725014,0.2492179353493222,0.27481713688610243,0.30031282586027114,0.2747826086956522,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.4619085805934242,0.43098745226404805,2.435006856918335,True
