rd_seed,T,n/p,p,lambda(sparsity),mu0(thresh),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1998,10,20,250,3.570786e-04,5.000000e-04,1.000000e+00,12502888.373,0.727,0.581,0.646,21.552,0.827,0.105 
1998,10,20,250,3.292971e-04,5.000000e-04,1.000000e+00,12507996.241,0.727,0.540,0.620,21.552,0.827,0.105 
1998,10,20,250,3.036771e-04,5.000000e-04,1.000000e+00,12516885.662,0.758,0.509,0.609,21.552,0.827,0.106 
1998,10,20,250,2.800504e-04,5.000000e-04,1.000000e+00,12528999.177,0.767,0.458,0.573,21.552,0.827,0.107 
1998,10,20,250,2.582619e-04,5.000000e-04,1.000000e+00,12524653.081,0.786,0.480,0.596,21.552,0.827,0.110 
1998,10,20,250,2.381686e-04,5.000000e-04,1.000000e+00,12547918.223,0.804,0.409,0.542,21.552,0.826,0.116 
1998,10,20,250,2.196385e-04,5.000000e-04,1.000000e+00,12553937.149,0.826,0.400,0.539,21.552,0.826,0.124 
1998,10,20,250,2.025502e-04,5.000000e-04,1.000000e+00,12576719.284,0.833,0.349,0.492,21.552,0.826,0.123 
1998,10,20,250,1.867914e-04,5.000000e-04,1.000000e+00,12674836.234,0.859,0.232,0.365,21.552,0.826,0.119 
1998,10,20,250,1.722586e-04,5.000000e-04,1.000000e+00,12823488.793,0.870,0.152,0.259,21.552,0.826,0.124 
1998,10,20,250,1.588565e-04,5.000000e-04,1.000000e+00,13069447.338,0.882,0.098,0.176,21.552,0.826,0.124 
1998,10,20,250,1.464971e-04,5.000000e-04,1.000000e+00,13303491.968,0.897,0.074,0.137,21.552,0.826,0.122 
1998,10,20,250,1.350994e-04,5.000000e-04,1.000000e+00,13378908.662,0.916,0.070,0.129,21.552,0.826,0.128 
1998,10,20,250,1.245883e-04,5.000000e-04,1.000000e+00,13611449.812,0.930,0.057,0.108,21.552,0.826,0.129 
1998,10,20,250,1.148951e-04,5.000000e-04,1.000000e+00,13994652.669,0.931,0.044,0.083,21.552,0.826,0.130 
1998,10,20,250,1.059560e-04,5.000000e-04,1.000000e+00,14235327.039,0.938,0.038,0.073,21.552,0.826,0.127 
1998,10,20,250,9.771242e-05,5.000000e-04,1.000000e+00,14637794.489,0.949,0.032,0.061,21.552,0.826,0.127 
1998,10,20,250,9.011018e-05,5.000000e-04,1.000000e+00,15027003.802,0.958,0.027,0.053,21.552,0.826,0.127 
1998,10,20,250,8.309942e-05,5.000000e-04,1.000000e+00,15459272.484,0.954,0.023,0.045,21.552,0.826,0.128 
1998,10,20,250,7.663411e-05,5.000000e-04,1.000000e+00,15993477.167,0.967,0.020,0.039,21.552,0.826,0.126 
1998,10,20,250,7.067181e-05,5.000000e-04,1.000000e+00,16484497.951,0.972,0.018,0.035,21.552,0.826,0.127 
1998,10,20,250,6.517340e-05,5.000000e-04,1.000000e+00,16934379.718,0.979,0.016,0.032,21.552,0.826,0.126 
1998,10,20,250,6.010277e-05,5.000000e-04,1.000000e+00,17392322.380,0.981,0.015,0.029,21.552,0.826,0.124 
1998,10,20,250,5.542665e-05,5.000000e-04,1.000000e+00,17839935.033,0.981,0.013,0.027,21.552,0.826,0.123 
1998,10,20,250,5.111433e-05,5.000000e-04,1.000000e+00,18190912.466,0.981,0.013,0.025,21.552,0.826,0.124 
1998,10,20,250,4.713753e-05,5.000000e-04,1.000000e+00,18578036.772,0.986,0.012,0.024,21.552,0.826,0.124 
1998,10,20,250,4.347013e-05,5.000000e-04,1.000000e+00,18929669.454,0.987,0.011,0.022,21.552,0.826,0.124 
1998,10,20,250,4.008806e-05,5.000000e-04,1.000000e+00,19256120.099,0.985,0.011,0.021,21.552,0.826,0.123 
1998,10,20,250,3.696913e-05,5.000000e-04,1.000000e+00,19573670.812,0.991,0.010,0.020,21.552,0.826,0.124 
1998,10,20,250,3.409285e-05,5.000000e-04,1.000000e+00,19724749.463,0.996,0.010,0.020,21.552,0.826,0.122 
1998,10,20,250,3.144035e-05,5.000000e-04,1.000000e+00,19866989.133,0.993,0.010,0.020,21.552,0.826,0.120 
1998,10,20,250,2.899423e-05,5.000000e-04,1.000000e+00,20051357.320,0.991,0.010,0.019,21.552,0.826,0.118 
1998,10,20,250,2.673842e-05,5.000000e-04,1.000000e+00,20210649.624,0.995,0.010,0.019,21.552,0.826,0.118 
1998,10,20,250,2.465811e-05,5.000000e-04,1.000000e+00,20365020.741,0.996,0.009,0.018,21.552,0.826,0.118 
1998,10,20,250,2.273966e-05,5.000000e-04,1.000000e+00,20559954.619,0.996,0.009,0.018,21.552,0.826,0.115 
