T,p,N,Tau1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,2000,0.022229964825262,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.141999999999999,0
3,65,2000,0.0167683293681101,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.141,0
3,65,2000,0.012648552168553,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.141,0
3,65,2000,0.00954095476349994,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.143000000000001,0
3,65,2000,0.00719685673001153,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.141999999999999,0
3,65,2000,0.00542867543932386,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827574,0.113,0
3,65,2000,0.00409491506238043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827699,0.114000000000001,0
3,65,2000,0.00308884359647748,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827766,0.112,0
3,65,2000,0.00232995181051537,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827804,0.113000000000001,0
3,65,2000,0.00175751062485479,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827825,0.114000000000001,0
3,65,2000,0.00132571136559011,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827837,0.115,0
3,65,2000,0.001,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827845,0.115,0
