T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,0.0138262217376466,1,0.0334728033472803,0.222222222222222,0.0581818181818182,0.0227272727272727,0.166666666666667,0.04,0.0173611111111111,0.138888888888889,0.0308641975308642,0.0245203957285547,0.175925925925926,0.0430153385708941,23631.4773806082,10.834,528
3,65,200,0.0126038292967973,1,0.0502092050209205,0.25,0.0836236933797909,0.0378787878787879,0.208333333333333,0.0641025641025641,0.0347222222222222,0.208333333333333,0.0595238095238095,0.0409367383739769,0.222222222222222,0.0690833556687215,40277.9682243895,10.831,654
3,65,200,0.0114895100018731,1,0.0794979079497908,0.301587301587302,0.125827814569536,0.0643939393939394,0.26984126984127,0.103975535168196,0.0590277777777778,0.26984126984127,0.0968660968660968,0.0676398750405027,0.28042328042328,0.10888981553461,67265.9780214906,10.917,858
3,65,200,0.0104737089795945,1,0.108786610878661,0.320987654320988,0.1625,0.0909090909090909,0.296296296296296,0.139130434782609,0.0902777777777778,0.320987654320988,0.140921409214092,0.0966578265218433,0.31275720164609,0.147517281332234,93446.5017210626,11.141,1056
3,65,200,0.00954771611420807,1,0.129707112970711,0.326315789473684,0.18562874251497,0.102272727272727,0.284210526315789,0.15041782729805,0.107638888888889,0.326315789473684,0.161879895561358,0.113206243044109,0.312280701754386,0.165975488458126,118828.104298795,10.814,1248
3,65,200,0.00870359136148517,1,0.133891213389121,0.293577981651376,0.183908045977011,0.121212121212121,0.293577981651376,0.171581769436997,0.125,0.330275229357798,0.181360201511335,0.126701111533748,0.305810397553517,0.178950005641781,148979.037736666,10.727,1476
3,65,200,0.00793409666579749,1,0.154811715481172,0.276119402985075,0.198391420911528,0.143939393939394,0.283582089552239,0.190954773869347,0.142361111111111,0.305970149253731,0.194312796208531,0.147037406843892,0.288557213930348,0.194552996996469,189475.853727437,10.78,1782
3,65,200,0.00723263389648353,1,0.175732217573222,0.278145695364238,0.215384615384615,0.162878787878788,0.28476821192053,0.207228915662651,0.15625,0.298013245033113,0.20501138952164,0.164953668484003,0.286975717439294,0.209208306856302,217238.864625846,10.791,1992
3,65,200,0.00659318827133354,1,0.188284518828452,0.254237288135593,0.216346153846154,0.170454545454545,0.254237288135593,0.204081632653061,0.173611111111111,0.282485875706215,0.21505376344086,0.177450058464703,0.263653483992467,0.211827183313358,265696.574866839,10.784,2358
3,65,200,0.00601027678207039,1,0.200836820083682,0.236453201970443,0.217194570135747,0.200757575757576,0.261083743842365,0.226980728051392,0.201388888888889,0.285714285714286,0.236252545824847,0.200994428243382,0.261083743842365,0.226809281337329,303010.273702381,10.751,2640
