rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1339,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9096971598933,0.4760829398480805,0.6250505377213552,606.0496158599854,62453302.31411786,62452567.33280304
1339,Cat_alg,100,250,5000.0,Cat1,0.0005,0.001,1,0.9027199612011478,0.4588143461649069,0.6084031324480763,1560.2182085514069,124955976.29179408,124954060.6328804
1340,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.8942115768463074,0.6136986301369863,0.7278635255889522,21.71478247642517,3730871.621450802,3729938.991397897
1340,Cat_alg,5,250,5000.0,Cat1,0.0005,0.001,1,0.9150370869858396,0.5572895277207393,0.6927003573251659,43.35582208633423,6223862.2264779415,6222990.224226934
1340,Cat_alg,10,250,5000.0,Cat1,0.0005,0.001,1,0.912381596752368,0.5543679342240493,0.6896816263904871,85.45284700393677,12451449.676866451,12451274.3118801
1340,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.910007072135785,0.5286565324568612,0.6687889812889813,182.34114503860474,24956471.272785217,24956740.92483436
1340,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9043827841715276,0.4710737014986655,0.6194757160983775,600.9162421226501,62473208.1291949,62472111.106120914
1340,Cat_alg,100,250,5000.0,Cat1,0.0005,0.001,1,0.898362370739951,0.4586294729057968,0.607248249133066,1605.8329665660858,124989153.06982996,124989533.24945846
1341,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.8752436647173489,0.6150684931506849,0.7224456958970232,23.438518524169922,3728673.525432847,3727710.2551142266
1341,Cat_alg,5,250,5000.0,Cat1,0.0005,0.001,1,0.9126084056037358,0.5618069815195071,0.695475343162176,43.03034853935242,6224014.566943884,6223512.110235412
1341,Cat_alg,10,250,5000.0,Cat1,0.0005,0.001,1,0.9032258064516128,0.5525179856115108,0.6856268333120775,83.00697445869446,12449942.107912231,12450275.84857604
1341,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.9047452285063912,0.5307107641741988,0.6689972162879524,180.52514123916626,24952607.469265327,24952787.134479143
1341,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9057731634418752,0.4728392527201807,0.6213277941136798,600.9343466758728,62475869.57359509,62476730.92809693
1341,Cat_alg,100,250,5000.0,Cat1,0.0005,0.001,1,0.90234375,0.4602727907645536,0.6095981717768044,1624.9559755325317,124975712.982252,124974955.55577046
1337,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8745098039215686,0.6113776559287183,0.7196450181524808, ,3728840.35010252,
1337,Cat_alg,5,250,5000.0,Cat2,0.0005,0.001,1,0.904539385847797,0.5564681724845996,0.6890414441901855, ,6224512.211350786,
1337,Cat_alg,10,250,5000.0,Cat2,0.0005,0.001,1,0.9025710419485792,0.5481816313951099,0.6820912693340151, ,12443604.827055758,
1337,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.8972310969116081,0.5201152381932298,0.658503224125578, ,24954123.46095748,
1337,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9064281808951028,0.4770811921891059,0.6251346692523163, ,62470172.25027493,
1337,Cat_alg,100,250,5000.0,Cat2,0.0005,0.001,1,0.8969196698208174,0.4575989153210896,0.6060152626066138, ,124981613.7796491,
1338,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8745173745173745,0.6209732693625771,0.72625250501002, ,3730712.325257749,
1338,Cat_alg,5,250,5000.0,Cat2,0.0005,0.001,1,0.8897586431833007,0.5601642710472279,0.6874999999999999, ,6223638.192699217,
1338,Cat_alg,10,250,5000.0,Cat2,0.0005,0.001,1,0.8946840521564694,0.5498253544277789,0.6810893357088318, ,12453428.81768908,
1338,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.8962196861626248,0.5171313921185308,0.6558361062177857, ,24955276.28181917,
1338,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9031834337814866,0.4805344295991778,0.627311025840556, ,62482678.80480902,
1338,Cat_alg,100,250,5000.0,Cat2,0.0005,0.001,1,0.8990600899742931,0.459817576728707,0.6084486367466768, ,124959316.02316834,
