t,p,n,nu_0,mu,gamma,no_edges,bic value,precision,,,,,,,,precision_avg,recall,,,,,,,,recall_avg,F1,,,,,,,,F1_avg,Time(sec),mask_diag
8,65,2000,0.0005,0.9771241535346502,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.467977523803711,True
8,65,2000,0.0005,0.890735463861044,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.489514350891113,True
8,65,2000,0.0005,0.8119844993184009,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.491296768188477,True
8,65,2000,0.0005,0.7401959996915645,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.508695840835571,True
8,65,2000,0.0005,0.6747544053110693,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.537151575088501,True
8,65,2000,0.0005,0.6150985788580497,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.538973569869995,True
8,65,2000,0.0005,0.5607169938205459,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.576595783233643,True
8,65,2000,0.0005,0.5111433483440165,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.626725673675537,True
8,65,2000,0.0005,0.4659525668664682,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.620598793029785,True
8,65,2000,0.0005,0.42475715525368984,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.6596760749816895,True
8,65,2000,0.0005,0.3872038781812553,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.6782238483428955,True
8,65,2000,0.0005,0.352970730273065,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.762094736099243,True
