t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,1e-05,107.17668854455034,10,1240.0,772524.4129890042,0.1377049180327869,0.01096319498825372,0.02030947775628627,13.460899114608765,True
10,100,2500,1e-05,99.2328622883255,10,1339.0,775584.1887961144,0.13069908814589665,0.011224223440355,0.020673076923076922,13.53948450088501,True
10,100,2500,1e-05,91.87782428863335,10,1434.0,778717.9742025178,0.13066666666666665,0.012790394152962672,0.023300047551117448,13.61692214012146,True
10,100,2500,1e-05,85.06793416364158,10,1542.0,782538.2165675877,0.14150943396226415,0.015661707126076743,0.028202115158636895,13.612412214279175,True
10,100,2500,1e-05,78.7627861118706,10,1656.0,785881.3450217672,0.1388888888888889,0.016966849386583136,0.03023959060246569,13.781882762908936,True
10,100,2500,1e-05,72.92496916841448,10,1744.0,788395.0524638877,0.14084507042253522,0.018271991647089533,0.03234750462107209,14.043756246566772,True
10,100,2500,1e-05,67.51984523072505,10,1888.0,792946.6269259616,0.13932980599647266,0.020621247716001045,0.03592542064574807,13.84203028678894,True
10,100,2500,1e-05,62.51534353689715,10,2000.0,796352.9729444602,0.1331168831168831,0.021404333072304882,0.0368787946930515,13.917472839355469,True
10,100,2500,1e-05,57.88177037701277,10,2117.0,800060.26965219,0.13333333333333333,0.023492560689115115,0.03994673768308921,14.000534772872925,True
10,100,2500,1e-05,53.591632908485145,10,2249.0,803767.6660566629,0.13114754098360656,0.025058731401722788,0.042077580539118996,14.08615231513977,True
10,100,2500,1e-05,49.61947603002903,10,2413.0,808618.8104422068,0.12944162436548223,0.02662490211433046,0.04416540376704914,14.138452768325806,True
10,100,2500,1e-05,45.94173134636476,10,2550.0,812443.4406103168,0.12649164677804295,0.027669015922735577,0.045405868494324264,14.252199411392212,True
10,100,2500,1e-05,42.53657732750387,10,2749.0,818488.4264352744,0.12660944206008584,0.030801357347950926,0.04954860382112114,14.2475745677948,True
10,100,2500,1e-05,39.38380983288489,10,2895.0,822736.6233738125,0.12951807228915663,0.033672670321064996,0.05344934742075824,14.330884218215942,True
10,100,2500,1e-05,36.464722232127485,10,3068.0,828276.5844601414,0.136986301369863,0.03915426781519186,0.06090133982947625,14.431655168533325,True
10,100,2500,1e-05,33.7619944111134,10,3270.0,834021.6545838668,0.13704318936877077,0.04306969459671104,0.06554121151936444,14.463212728500366,True
10,100,2500,1e-05,31.25959000482281,10,3516.0,841458.7691786555,0.13604919292851653,0.04620203602192639,0.06897895557287607,14.775678873062134,True
10,100,2500,1e-05,28.942661247167518,10,3720.0,847331.8196124062,0.1371994342291372,0.050639519707648135,0.07397521448999048,14.61328935623169,True
10,100,2500,1e-05,26.797460873256924,10,3973.0,854487.3014044017,0.13598460551635663,0.055338031845471154,0.07866419294990724,14.729361772537231,True
10,100,2500,1e-05,24.811260551377703,10,4234.0,861791.1338744237,0.13723150357995226,0.06003654398329418,0.08353005266025057,14.696111679077148,True
10,100,2500,1e-05,22.972275360711524,10,4542.0,870314.4182952679,0.138215859030837,0.06551814147742104,0.08889675934124314,14.818679332733154,True
10,100,2500,1e-05,21.269593866686908,10,4817.0,877950.925599893,0.14102564102564102,0.07178282432785174,0.09513924926483308,14.839025020599365,True
10,100,2500,1e-05,19.693113379074227,10,5164.0,887758.7055853935,0.13913448115402513,0.07804750717828243,0.1,15.000884056091309,True
10,100,2500,1e-05,18.233480008684413,10,5485.0,896732.1341285877,0.140753572975314,0.08483424693291569,0.10586319218241043,14.985432863235474,True
10,100,2500,1e-05,16.882033167003637,10,5788.0,904935.9789041439,0.1382716049382716,0.08770555990602975,0.10733109726880688,15.064293146133423,True
10,100,2500,1e-05,15.630754179458165,10,6041.0,911920.3902548284,0.13871473354231975,0.09240407204385279,0.11091963026789911,15.108545064926147,True
10,100,2500,1e-05,14.47221870741135,10,6375.0,920966.4937710088,0.13842220598977356,0.09892978334638476,0.11539047039123154,15.21264100074768,True
10,100,2500,1e-05,13.39955269659339,10,6710.0,930058.1098619438,0.13720041681139283,0.10310623858000523,0.11773472429210134,15.28736686706543,True
10,100,2500,1e-05,12.406391590588324,10,7095.0,940722.3118500925,0.13344262295081968,0.10623858000522057,0.11829675919197791,15.364207983016968,True
10,100,2500,1e-05,11.486842567375541,10,7481.0,951266.5424229647,0.1334981458590853,0.11276429130775255,0.12225838403848875,15.378731727600098,True
10,100,2500,1e-05,10.635449574860113,10,7848.0,961241.1551119827,0.1337226277372263,0.1195510310623858,0.1262403528114664,15.526602268218994,True
10,100,2500,1e-05,9.847160957933774,10,8233.0,971785.5196411058,0.13268698060941828,0.12503262855651265,0.12874613627200643,15.5493323802948,True
10,100,2500,1e-05,9.117299484984922,10,8733.0,985355.5746023714,0.13427010148321625,0.13469068128425998,0.1344800625488663,15.602054119110107,True
10,100,2500,1e-05,8.441534596012986,10,9134.0,996513.449084764,0.13552209331029375,0.14330462020360218,0.13930474498858156,15.679351091384888,True
10,100,2500,1e-05,7.815856707684091,10,9595.0,1008931.5809348512,0.13497652582159625,0.15009135995823544,0.1421332344580398,15.728216648101807,True
10,100,2500,1e-05,7.236553422869657,10,10017.0,1020325.1893213007,0.13460246360582306,0.1568780997128687,0.1448891031822565,15.770035028457642,True
10,100,2500,1e-05,6.70018750350959,10,10471.0,1032485.3439078893,0.13612791702679344,0.1644479248238058,0.14895377704220358,15.760554790496826,True
10,100,2500,1e-05,6.203576476104275,10,10956.0,1045417.1534103805,0.13844580777096113,0.1767162620725659,0.15525742460726982,15.86939787864685,True
10,100,2500,1e-05,5.7437737488265865,10,11427.0,1058066.7902695523,0.13679704222611402,0.18350300182719917,0.15674470457079154,15.96828842163086,True
10,100,2500,1e-05,5.3180511282142024,10,11903.0,1070891.0611959656,0.13746279761904762,0.1929000261028452,0.16053003149777342,15.925256967544556,True
10,100,2500,1e-05,4.923882631706742,10,12439.0,1085020.70092942,0.13796791443850268,0.20203602192638997,0.16396568160152525,16.067097663879395,True
10,100,2500,1e-05,4.558929499981064,10,12971.0,1099379.3016328132,0.13697925595748328,0.20856173322892196,0.16535596026490065,16.224647045135498,True
10,100,2500,1e-05,4.221026320156903,10,13468.0,1112584.1763644873,0.1359881031064111,0.21482641607935266,0.16654861884043307,16.159303665161133,True
10,100,2500,1e-05,3.908168177536268,10,14034.0,1127676.489971454,0.13665086887835703,0.22578961106760637,0.17025883279204804,16.231297254562378,True
10,100,2500,1e-05,3.6184987596427503,10,14563.0,1141762.828526916,0.1378316906747536,0.23727486296006264,0.17437176290044118,16.2671217918396,True
10,100,2500,1e-05,3.3502993419772333,10,15003.0,1153461.532074917,0.13696418085731063,0.24353954581049334,0.17532650568448743,16.33514904975891,True
10,100,2500,1e-05,3.101978590138097,10,15515.0,1166982.4815682918,0.13917089678511,0.2576350822239624,0.18071958253227136,16.378555297851562,True
10,100,2500,1e-05,2.872063117797828,10,16012.0,1180425.4200114056,0.14067403465684267,0.26912033411641867,0.1847670250896057,16.41202425956726,True
10,100,2500,1e-05,2.6591887445126936,10,16556.0,1194782.7246730996,0.14103065883887803,0.28217175672148265,0.18806541405706337,16.419448375701904,True
10,100,2500,1e-05,2.4620924014946257,10,17095.0,1208936.7721302547,0.14059330628803246,0.2894805533803185,0.18926529567369232,16.532293558120728,True
10,100,2500,1e-05,2.2796046373189798,10,17656.0,1223696.7487376865,0.14037662020053804,0.29966066301226835,0.19118994087767507,16.57341742515564,True
10,100,2500,1e-05,2.110642679101555,10,18231.0,1238922.3006610442,0.14107588172426078,0.3101018010963195,0.19392752203721844,16.62934422492981,True
10,100,2500,1e-05,1.9542040079740535,10,18788.0,1253474.0713336286,0.1408597180494569,0.3181936831114591,0.19527432919503404,16.625838041305542,True
10,100,2500,1e-05,1.8093604107387165,10,19341.0,1268056.3033076124,0.13960049655795057,0.3228921952492822,0.19492593759848723,16.708290815353394,True
10,100,2500,1e-05,1.6752524724082154,10,19902.0,1282688.2147570269,0.13868452838475898,0.32967893500391543,0.19523883134951306,16.780574083328247,True
10,100,2500,1e-05,1.5510844769528405,10,20415.0,1296279.5553245377,0.14008735485245552,0.34325241451318195,0.19897110001513088,16.87760853767395,True
10,100,2500,1e-05,1.4361196859990788,10,20925.0,1309631.231708215,0.14144565782631305,0.3549986948577395,0.20229064405771235,16.964257955551147,True
10,100,2500,1e-05,1.3296759674662126,10,21414.0,1322207.824041833,0.1426685621445979,0.36674497520229704,0.20542437312669057,16.972705125808716,True
10,100,2500,1e-05,1.2311217482038908,10,21973.0,1337069.2402718067,0.14333728746540134,0.3784912555468546,0.20793002079300207,17.0875301361084,True
10,100,2500,1e-05,1.1398722666160526,10,22464.0,1350165.9704304761,0.14347784107366998,0.3878882798225006,0.20947279391034676,17.11276125907898,True
10,100,2500,1e-05,1.0553861030365241,10,22931.0,1362334.9360386687,0.1447405861709191,0.3983294179065518,0.21232781410880758,16.98812747001648,True
10,100,2500,1e-05,0.9771619672696181,10,23399.0,1374332.8944613338,0.14470500651405174,0.4058992430174889,0.21334979762639777,17.144184112548828,True
