t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,0.005,0.00015040335536380253,10,350.0,743577.6965529489,nan,0.0,nan,9.6307532787323,True
10,100,2500,0.005,0.0001392556128874465,10,350.0,743577.6965529489,nan,0.0,nan,9.476310014724731,True
10,100,2500,0.005,0.00012893412965257157,10,350.0,743577.6965529489,nan,0.0,nan,9.718341827392578,True
10,100,2500,0.005,0.00011937766417144381,10,350.0,743577.6965529489,nan,0.0,nan,9.880858182907104,True
10,100,2500,0.005,0.0001105295141126022,10,350.0,743577.6965529489,nan,0.0,nan,9.718147039413452,True
10,100,2500,0.005,0.00010233717986325213,10,350.0,743577.6965529489,nan,0.0,nan,9.584770917892456,True
10,100,2500,0.005,9.475205302806548e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.603995561599731,True
10,100,2500,0.005,8.772912801613374e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.537296056747437,True
10,100,2500,0.005,8.12267350047972e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.983547687530518,True
10,100,2500,0.005,7.520629269592422e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.883143901824951,True
10,100,2500,0.005,6.96320793976389e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.479482173919678,True
10,100,2500,0.005,6.44710210732387e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.539408206939697,True
10,100,2500,0.005,5.96924950997074e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.466503858566284,True
10,100,2500,0.005,5.526814857144603e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.679680585861206,True
10,100,2500,0.005,5.11717300711461e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.512069463729858,True
10,100,2500,0.005,4.737893390963144e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.540310382843018,True
10,100,2500,0.005,4.3867255910485035e-05,10,350.0,743577.6965529489,nan,0.0,nan,10.018880605697632,True
10,100,2500,0.005,4.0615859883769796e-05,10,350.0,743577.6965529489,nan,0.0,nan,10.031832933425903,True
10,100,2500,0.005,3.760545399658176e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.95572304725647,True
10,100,2500,0.005,3.4818176306889665e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.66801142692566,True
10,100,2500,0.005,3.2237488781490335e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.861718654632568,True
10,100,2500,0.005,2.9848079169243274e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.779223918914795,True
10,100,2500,0.005,2.763577014736163e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.825110912322998,True
10,100,2500,0.005,2.558743520168589e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.670948505401611,True
10,100,2500,0.005,2.3690920741826368e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.374966382980347,True
10,100,2500,0.005,2.19349739890506e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.841845750808716,True
10,100,2500,0.005,2.030917620904739e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.879233837127686,True
10,100,2500,0.005,1.8803880893409167e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.632191896438599,True
10,100,2500,0.005,1.741015652304019e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.845345735549927,True
10,100,2500,0.005,1.6119733573881587e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.517991065979004,True
10,100,2500,0.005,1.4924955450518321e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.756214380264282,True
10,100,2500,0.005,1.3818733056536336e-05,10,350.0,743577.6965529489,nan,0.0,nan,10.218384265899658,True
10,100,2500,0.005,1.2794502732078734e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.970481157302856,True
10,100,2500,0.005,1.1846187309026848e-05,10,350.0,743577.6965529489,nan,0.0,nan,9.792718648910522,True
10,100,2500,0.005,1.096816005273138e-05,10,350.0,743577.6965529489,nan,0.0,nan,10.17372751235962,True
10,100,2500,0.005,1.015521127634569e-05,10,350.0,743577.6965529489,nan,0.0,nan,10.275827884674072,True
10,100,2500,0.005,9.402517429670132e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.840786218643188,True
10,100,2500,0.005,8.705612479099856e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.47312593460083,True
10,100,2500,0.005,8.060361408861362e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.332768440246582,True
10,100,2500,0.005,7.462935686310145e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.983672857284546,True
10,100,2500,0.005,6.909790545715645e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.296815395355225,True
10,100,2500,0.005,6.397643955748424e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.994702339172363,True
10,100,2500,0.005,5.923457145875818e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.262081623077393,True
10,100,2500,0.005,5.484416576121026e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.122893810272217,True
10,100,2500,0.005,5.077917243205403e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.837389707565308,True
10,100,2500,0.005,4.70154722402213e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.15489387512207,True
10,100,2500,0.005,4.353073364731901e-06,10,350.0,743577.6965529489,nan,0.0,nan,9.98103380203247,True
10,100,2500,0.005,4.030428030568059e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.424565315246582,True
10,100,2500,0.005,3.7316968377327556e-06,10,350.0,743577.6965529489,nan,0.0,nan,10.029300689697266,True
