T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,0.104737089795945,0.1,0.889952153110048,0.06478578892372,0.120779220779221,3355490.38911374,1.14399999999999,5742
1,65,2000,0.0954771611420807,0.1,0.904306220095694,0.0642638558313499,0.12,3428929.87569509,1.102,5882
1,65,2000,0.0870359136148517,0.1,0.911483253588517,0.063373253493014,0.11850699844479,3505011.4595743,1.11099999999999,6012
1,65,2000,0.0793409666579749,0.1,0.91866028708134,0.0627245998039856,0.11743119266055,3573432.26384052,1.161,6122
1,65,2000,0.0723263389648353,0.1,0.921052631578947,0.0616690693576806,0.115598258519742,3641060.7677622,1.14599999999999,6243
1,65,2000,0.0659318827133354,0.1,0.923444976076555,0.0607491344035253,0.113998818665092,3701820.90750598,1.102,6354
1,65,2000,0.0601027678207039,0.1,0.935406698564593,0.0605544370450674,0.113745454545455,3763109.5330816,1.10899999999999,6457
1,65,2000,0.0547890117959395,0.1,0.937799043062201,0.0596016420860575,0.112080057183703,3818322.25151383,1.122,6577
1,65,2000,0.0499450511585514,0.1,0.952153110047847,0.0597418192734914,0.112429378531073,3862968.0728702,1.13500000000001,6662
1,65,2000,0.0455293507486695,0.1,0.956937799043062,0.0593912397921307,0.111841185516566,3909991.51459869,1.099,6735
1,65,2000,0.0415040475785047,0.1,0.956937799043062,0.0586940572267058,0.110604175307618,3950410.63065685,1.11800000000001,6815
1,65,2000,0.0378346261713193,0.1,0.95933014354067,0.0582764133120186,0.109878065488423,3988980.54589095,1.161,6881
1,65,2000,0.0344896226040576,0.1,0.964114832535885,0.0580357142857143,0.10948111926107,4024116.20246318,1.10600000000002,6944
1,65,2000,0.031440354715915,0.1,0.976076555023923,0.0582441113490364,0.109928600296376,4056081.76693694,1.113,7005
1,65,2000,0.0286606761694825,0.1,0.976076555023923,0.0578067441201474,0.109149277688604,4085669.75587844,1.11700000000002,7058
1,65,2000,0.0261267522556333,0.1,0.983253588516746,0.0578221722003376,0.109221365931438,4114201.0362018,1.16499999999999,7108
1,65,2000,0.0238168555197616,0.1,0.983253588516746,0.0575146935348447,0.108672659968271,4137977.16201904,1.10599999999999,7146
1,65,2000,0.0217111794569451,0.1,0.988038277511962,0.0574249165739711,0.108541392904074,4158319.0028322,1.11199999999999,7192
1,65,2000,0.0197916686785356,0.1,0.990430622009569,0.0571902196435972,0.108136345827348,4178132.47538161,1.11699999999999,7239
1,65,2000,0.0180418640939207,0.1,0.990430622009569,0.057001239157373,0.1077984637417,4198738.45034061,1.16800000000001,7263
1,65,2000,0.0164467617799466,0.1,0.990430622009569,0.0566890319046967,0.107239994819324,4217759.35792854,1.10000000000002,7303
1,65,2000,0.0149926843278604,0.1,0.992822966507177,0.0565164101865722,0.106944981316841,4234138.50066481,1.10999999999999,7343
1,65,2000,0.0136671635646201,0.1,0.992822966507177,0.0562406830193793,0.106451199179171,4248140.05285285,1.11499999999998,7379
