rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min),seed,n_by_p
1338.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969450876.9587955,0.8743893107304727,0.7464824120603015,0.8053891403941554,64.77863466152145,1338.0,25.0
1338.0,20.0,2000.0,60000.0,0.0001,0.0005,1.0,2363032006.592887,0.8005958976631947,0.8169095477386935,0.8086704555346905,65.38631892796451,1338.0,30.0
1339.0,20.0,2000.0,500.0,0.001,0.001,1.0,20428770.26688291,0.703082347588717,0.3106281407035176,0.4308866583019657,65.98424342504391,1339.0,0.25
1339.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40099011.34135121,0.9441649082941082,0.2923115577889447,0.4464141821112006,65.28742292271151,1339.0,0.5
1339.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79728164.46696503,0.910112881497654,0.4922613065326633,0.6389355422570809,68.76484179017135,1339.0,1.0
1339.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394951987.7967802,0.8673040706939013,0.7521356783919598,0.8056247056448899,63.48209768426605,1339.0,5.0
1339.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788570840.3032441,0.8736894511802261,0.7495728643216081,0.8068861060774078,64.9813042028031,1339.0,10.0
1339.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182233780.6406548,0.8733341161275172,0.7475125628140703,0.8055397611891802,64.91638796630626,1339.0,15.0
1339.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575867004.479607,0.874331079094384,0.7471356783919598,0.8057444790678769,65.1488966373261,1339.0,20.0
1339.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969527893.7760544,0.8741382358140357,0.7454773869346734,0.8046974587073852,63.08552162746589,1339.0,25.0
1339.0,20.0,2000.0,60000.0,0.0001,0.0005,1.0,2363119533.1545167,0.8013609131924755,0.8166834170854271,0.8089496148629309,63.90072798632706,1339.0,30.0
1340.0,20.0,2000.0,500.0,0.001,0.001,1.0,20441666.63473641,0.6985960144927537,0.3100502512562814,0.4294862870666852,66.03775949832053,1340.0,0.25
1340.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40112567.643995024,0.9428778601353528,0.2940452261306532,0.4482877499425419,65.81852547900053,1340.0,0.5
1340.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79759421.76829897,0.9102671118530884,0.4931909547738693,0.6397562088520957,66.66555338956726,1340.0,1.0
1340.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394991808.7131726,0.8677994557980664,0.7532412060301508,0.806472439673957,64.07383321577994,1340.0,5.0
1340.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788623256.7656913,0.8729517790262172,0.7495979899497487,0.8065859197577593,66.28578190209033,1340.0,10.0
1340.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182197848.6484616,0.8754368960554527,0.7488944723618091,0.8072365837474779,64.7798955155847,1340.0,15.0
1340.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575821632.254678,0.8739147070076817,0.7460552763819095,0.8049392086964771,63.01200236213239,1340.0,20.0
1340.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969437371.171891,0.8743423179800711,0.7473869346733668,0.8058953414340093,63.74842906606694,1340.0,25.0
1340.0,20.0,2000.0,60000.0,0.0001,0.0005,1.0,2363066891.706593,0.8004332520985649,0.8169849246231156,0.8086243984929684,65.47022563375067,1340.0,30.0
1341.0,20.0,2000.0,500.0,0.001,0.001,1.0,20440204.68032709,0.7028353015003708,0.3095477386934673,0.4297999267386488,65.67900273635362,1341.0,0.25
1341.0,20.0,2000.0,1000.0,0.001,0.001,1.0,40113630.92903273,0.943556361239288,0.287713567839196,0.4409658040665434,65.57808122942224,1341.0,0.5
1341.0,20.0,2000.0,2000.0,0.0005,0.001,1.0,79756301.40387207,0.910529715762274,0.4958040201005025,0.6420158771473191,64.23587242009428,1341.0,1.0
1341.0,20.0,2000.0,10000.0,0.0001,0.001,1.0,394968603.4215164,0.8673714005141091,0.7545477386934674,0.8070354594681752,66.40083099037098,1341.0,5.0
1341.0,20.0,2000.0,20000.0,0.0001,0.001,1.0,788569084.4558762,0.8729842256494459,0.7480904522613065,0.8057261927313073,64.61692800399227,1341.0,10.0
1341.0,20.0,2000.0,30000.0,0.0001,0.001,1.0,1182211581.542865,0.8743530933897906,0.7471105527638191,0.8057392152612184,64.82976152667155,1341.0,15.0
1341.0,20.0,2000.0,40000.0,0.0001,0.001,1.0,1575854256.5321336,0.8738486890504076,0.7461306532663317,0.8049550709513031,64.92764868567077,1341.0,20.0
1341.0,20.0,2000.0,50000.0,0.0001,0.001,1.0,1969499675.049118,0.8736213640775271,0.7463316582914573,0.8049755423368247,65.64269293933175,1341.0,25.0
1341.0,20.0,2000.0,60000.0,0.0001,0.0005,1.0,2363091761.052673,0.80120066922547,0.8181909547738694,0.8096066829098504,64.8268754388361,1341.0,30.0
