rd_seed,L,p,N,Lamb1,Lamb2,tau_sq,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1995,10,250,5000,0.001,0.1,22.7396575235793,0.999427517007258,0.10036360197292,0.182309746695828,0.763362830057378,0.470075052809037,351358827.446528,55.846
1995,10,250,5000,0.001,0.1,20.7292177959537,0.999463385012997,0.100366880643435,0.182315734181464,0.76333802921777,0.470055324045956,351358890.489079,57.38
1995,10,250,5000,0.001,0.1,18.8965233969121,0.999461697629313,0.100367336867168,0.182316417556885,0.763310875377872,0.470033694775775,351358959.612724,57.491
1995,10,250,5000,0.001,0.1,17.2258596539879,0.999420171367966,0.100364021692635,0.182310264454315,0.763281150725954,0.470009983277294,351359035.400563,57.3249999999998
1995,10,250,5000,0.001,0.1,15.7029012472938,0.999420171367966,0.100363462016697,0.182309312739684,0.763248618363224,0.469983990726616,351359118.490904,57.7439999999999
1995,10,250,5000,0.001,0.1,14.3145893752348,0.999491619107845,0.100368162975521,0.182318295356699,0.763213020843455,0.469955499642218,351359209.582357,57.934
1995,10,250,5000,0.001,0.1,13.049019780144,0.999418492965249,0.100361389651704,0.182305916732078,0.763174078643336,0.469924272199646,351359309.439358,57.8210000000001
1995,10,250,5000,0.001,0.1,11.8953406737032,0.999412564938078,0.100361756575018,0.182306398939793,0.763131488569419,0.469890048407032,351359418.898175,57.665
1995,10,250,5000,0.001,0.1,10.8436596868961,0.999447713616508,0.100364618534333,0.182311722295055,0.763084922110071,0.469852544132688,351359538.873416,57.7190000000001
1995,10,250,5000,0.001,0.1,9.88495904662559,0.999416686623024,0.100361972670559,0.182306855508765,0.763034023743875,0.469811448975862,351359670.36508,57.6310000000001
1995,10,250,5000,0.001,0.1,9.01101825166502,0.999450196576942,0.100362780281648,0.18230879682307,0.762978409219439,0.469766423972036,351359814.466189,57.566
1995,10,250,5000,0.001,0.1,8.21434358491943,0.999481662843331,0.100363457861343,0.182310431475955,0.762917663825728,0.469717099124396,351359972.371033,57.9100000000001
1995,10,250,5000,0.001,0.1,7.48810385759002,0.999587406603613,0.10037366387004,0.182328976387414,0.762851340676774,0.469663070753692,351360145.384064,57.7619999999999
1995,10,250,5000,0.001,0.1,6.82607183427239,0.999522423752743,0.100367256161696,0.182317303681156,0.762778959040067,0.469603898659588,351360334.929476,57.6400000000001
1995,10,250,5000,0.001,0.1,6.22257083673023,0.999453592207744,0.100359471239491,0.182303337470846,0.762700002744015,0.469539103087747,351360542.56151,55.732
1995,10,250,5000,0.001,0.1,5.67242606849198,0.99941428576583,0.100358223048958,0.182300607568866,0.762613918706696,0.469468161498503,351360769.975499,55.6320000000001
1995,10,250,5000,0.001,0.1,5.17092024289676,0.999418838506485,0.100357525274411,0.182299451290466,0.762520115635529,0.469390505135053,351361019.019703,55.664
1995,10,250,5000,0.001,0.1,4.71375313411672,0.999392067734265,0.100353981119153,0.182293156257561,0.762417962955596,0.469305515391693,351361291.707946,55.701
1995,10,250,5000,0.001,0.1,4.29700470432084,0.999300647577953,0.100346971077481,0.182279948142304,0.762306790032806,0.469212519985936,351361590.233064,55.6290000000001
1995,10,250,5000,0.001,0.1,3.91710149080926,0.999305546243339,0.100345525639957,0.182277597226367,0.762185885766957,0.469110788942343,351361916.981194,55.623
1995,10,250,5000,0.001,0.1,3.57078596490046,0.999387093395479,0.100356226972026,0.182296679445592,0.762054498638632,0.468999530400747,351362274.546884,56.3559999999998
1995,10,250,5000,0.001,0.1,3.25508859983506,0.999390486662884,0.10036161428321,0.182305654682285,0.761911837302473,0.468877886267402,351362665.749021,56.3579999999997
1995,10,250,5000,0.001,0.1,2.96730240818887,0.999452366907753,0.100368164817353,0.182317573648054,0.761757071827393,0.468744927734381,351363093.647545,55.558
