rd_seed,L,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime(s)
1997,10,250,5000,1.09698579789238,0.1,0.068353520767302,0.844830423123038,0.126445509062166,0.833282113616214,1.83456880225708,14755928.3018632,27.7860000000001
1997,10,250,5000,1.02341140210545,0.1,0.0703039315790571,0.757617052815212,0.128634183750393,0.835794489862336,1.84690967283016,15127576.6358446,27.5810000000001
1997,10,250,5000,0.954771611420806,0.1,0.0726464749442244,0.677166384267228,0.131174165850817,0.838138079236397,1.85849713316867,15581928.9906741,27.2549999999999
1997,10,250,5000,0.890735463861044,0.1,0.0754869740100576,0.584587852817971,0.133681327334468,0.840324238068248,1.8693852272481,16270158.7458019,27.729
1997,10,250,5000,0.83099419493534,0.1,0.0792401097317443,0.497045928406143,0.136650620504748,0.842363561483163,1.87963379427601,17220396.3402892,27.5369999999998
1997,10,250,5000,0.775259748862946,0.1,0.0843704673400288,0.429855823258942,0.140936301875345,0.844265924440934,1.88929736754632,18384151.4878673,27.721
1997,10,250,5000,0.723263389648354,0.1,0.0889525527791636,0.369436705310352,0.143204707005166,0.846040535926069,1.89842968282753,19785607.4653495,27.6770000000001
1997,10,250,5000,0.674754405311069,0.1,0.0962398681086965,0.325282312320682,0.148307492995595,0.847695985568089,1.9070764122658,21516486.3086397,27.741
1997,10,250,5000,0.629498899022189,0.1,0.104504372616835,0.290454044757172,0.153478083385637,0.849240283849455,1.91528630647887,23542484.6976051,27.5650000000001
1997,10,250,5000,0.587278661318948,0.1,0.113596060654352,0.259822049323717,0.157778062107531,0.850680901296531,1.92310034462592,25971472.1965839,27.4780000000001
1997,10,250,5000,0.547890117959394,0.1,0.123136020150466,0.235619875413688,0.161394646556149,0.852024805516574,1.9305601644556,28674362.099545,27.6620000000003
1997,10,250,5000,0.511143348344017,0.1,0.134388958391509,0.218599721658715,0.16606374909997,0.853278495341117,1.93770778169047,31573546.9292923,27.395
1997,10,250,5000,0.476861169771447,0.1,0.1471032642079,0.20660322646286,0.171439368865409,0.854448031871324,1.94457695018863,34631750.3715191,27.4749999999999
1997,10,250,5000,0.444878283112759,0.1,0.159417377930396,0.194734362870391,0.174869196027191,0.855539067986483,1.95118733788404,37997299.3022164,27.3920000000003
1997,10,250,5000,0.415040475785048,0.1,0.173439668109473,0.185293722572479,0.178693515906832,0.856556876386285,1.95756026072499,41701481.331287,27.4380000000001
1997,10,250,5000,0.387203878181256,0.1,0.188663529780019,0.17835584265096,0.182876921509189,0.857506374826092,1.96371403431005,45542647.2545547,27.5709999999999
1997,10,250,5000,0.361234269970943,0.1,0.20396929254964,0.172790826417526,0.186629443036429,0.858392150710958,1.96965864523392,49426077.4896393,27.8489999999997
1997,10,250,5000,0.337006432927193,0.1,0.221548419110617,0.168918530528948,0.191232314455798,0.859218483031465,1.97540264681478,53549488.425481,27.7949999999996
1997,10,250,5000,0.31440354715915,0.1,0.237791531532633,0.165175320341522,0.194490128966076,0.859989363063525,1.98095316108511,57567029.6059171,27.7249999999999
1997,10,250,5000,0.293316627839005,0.1,0.255121010688462,0.162311754309279,0.197966983280898,0.860708513891903,1.98631592542285,61737948.6445372,27.4499999999998
1997,10,250,5000,0.273643999707467,0.1,0.271975512180419,0.159281938877917,0.200490846953578,0.861379408444255,1.99149385709907,66008826.4681368,27.683
1997,10,250,5000,0.255290806823952,0.1,0.289785938970541,0.157067384233041,0.203328754507308,0.862005286245544,1.99648858946239,70324233.397503,27.4839999999999
1997,10,250,5000,0.238168555197616,0.1,0.308706124444117,0.155532575076286,0.206476131604451,0.862589169095508,2.00130233411274,74717474.4933607,27.6379999999999
1997,10,250,5000,0.222194686093952,0.1,0.32567871178421,0.153217404400401,0.208025524501674,0.863133875841307,2.00593661481816,79180504.9498813,27.5629999999996
1997,10,250,5000,0.207292177959537,0.1,0.34571179626271,0.152271543274326,0.211080481759122,0.863642035985241,2.01039573087956,83758724.9325176,27.6989999999996
1997,10,250,5000,0.193389175045523,0.1,0.363523254625898,0.150373493076074,0.212423635471409,0.864116102454069,2.01467946315462,88366419.5587022,27.8000000000002
1997,10,250,5000,0.180418640939207,0.1,0.382597595002205,0.149156709650564,0.214339322745501,0.864558363356145,2.01878952030111,93055035.5473952,27.6289999999999
1997,10,250,5000,0.168318035333096,0.1,0.400819336634249,0.147621482451861,0.215484265149852,0.864970953170896,2.02272937935715,97776169.6930832,27.6799999999998
1997,10,250,5000,0.157029012472938,0.1,0.419295265388926,0.1464024869834,0.216752260965823,0.865355863058459,2.02650141735452,102437041.3578,27.7380000000003
1997,10,250,5000,0.146497139830729,0.1,0.436452136500084,0.14463782474136,0.217019235609211,0.86571495048903,2.03010863958582,107282717.392506,27.817
1997,10,250,5000,0.136671635646201,0.1,0.454869562642991,0.143281882055708,0.217685876840782,0.866049948230372,2.03355441758073,112200239.922869,27.732
