T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
10,200,2000,0.00954771611420807,0.001,0.174607546130543,0.142104673316149,0.156688291628051,18228261.102071,105.771,8923
10,200,2000,0.00870359136148517,0.001,0.186863123106582,0.139609053497942,0.159816276057002,20165974.7095527,102.188,9720
10,200,2000,0.00793409666579749,0.001,0.199669512530983,0.13810839127536,0.163279094645572,22000488.1470079,105.553,10499
10,200,2000,0.00723263389648353,0.001,0.212062792619113,0.13692540232951,0.166405532443676,23850546.0495749,98.1289999999999,11247
10,200,2000,0.00659318827133354,0.001,0.22294133847425,0.135481171548117,0.168540495523631,25584492.220985,105.012,11950
10,200,2000,0.00601027678207039,0.001,0.232993665656844,0.13371266002845,0.169913637276562,27333969.3784209,103.741,12654
10,200,2000,0.00547890117959395,0.001,0.243459102175709,0.132722768560919,0.171792255745032,29069095.1231513,106.764,13321
10,200,2000,0.00499450511585514,0.001,0.255714679151749,0.132623910869876,0.174661399548533,30878693.4689033,113.36,14002
10,200,2000,0.00455293507486695,0.001,0.265353896998072,0.131437146170111,0.175797108060028,32628668.3620188,119.805,14661
10,200,2000,0.00415040475785047,0.001,0.277196364637841,0.130901287553648,0.177826855123675,34451444.9663618,126.859,15378
10,200,2000,0.00378346261713193,0.001,0.286422473147893,0.129232680956819,0.178105064862782,36307424.7311542,129.222,16095
10,200,2000,0.00344896226040576,0.001,0.296612503442578,0.127871772039181,0.178703281204629,38153793.4931976,141.725,16845
10,200,2000,0.0031440354715915,0.001,0.307628752409804,0.126665532686965,0.17944495762882,40078569.2033574,132.395,17637
10,200,2000,0.00286606761694825,0.001,0.319884329385844,0.125425193024135,0.180196253345227,42189162.844676,140.293,18521
10,200,2000,0.00261267522556333,0.001,0.33076287524098,0.123776151705658,0.180140992950352,44414496.1333023,120.385,19406
10,200,2000,0.00238168555197616,0.001,0.343569264665381,0.122761267467034,0.180888856666425,46638270.6983483,127.822,20324
10,200,2000,0.00217111794569451,0.001,0.357614982098595,0.121764816204051,0.181671913256383,48986475.6033611,129.511,21328
10,200,2000,0.00197916686785356,0.001,0.370972183971358,0.120364578679296,0.181756847928755,51522917.3712314,128.521,22382
10,200,2000,0.00180418640939207,0.001,0.385155604516662,0.119519699171011,0.182428906861466,54121612.420248,132.912,23402
10,200,2000,0.00164467617799466,0.001,0.40099146240705,0.118925100057176,0.183444626433161,56877047.7130159,148.1,24486
10,200,2000,0.00149926843278604,0.001,0.416827320297439,0.118085355387376,0.18403453307393,59694741.5192051,159.14,25634
10,200,2000,0.00136671635646201,0.001,0.431974662627375,0.11710030236291,0.184253032216381,62543196.8067733,143.697999999999,26789
10,200,2000,0.00124588336429501,0.001,0.45056458275957,0.116861316475588,0.185587476248547,65501562.5458929,139.393,27999
10,200,2000,0.00113573335834311,0.001,0.469567612228036,0.116398143091207,0.186552874883746,68572262.8800915,125.690000000001,29296
10,200,2000,0.00103532184329566,0.001,0.489672266593225,0.116540490938289,0.188272667107876,71561473.8897262,133.254,30513
10,200,2000,0.000943787827777537,0.001,0.511980170751859,0.117187253758628,0.190720459616815,74626677.172805,134.057,31727
10,200,2000,0.000860346441668451,0.001,0.532360231341228,0.117361343007195,0.192323955923687,77654808.9283531,134.716,32941
10,200,2000,0.000784282206133768,0.001,0.553015698154778,0.117426900584795,0.193719550431721,80750047.3958662,123.414000000001,34200
10,200,2000,0.000714942898659758,0.001,0.573258055632057,0.117479399480754,0.194997423766921,83743602.7648338,122.021,35436
10,200,2000,0.000651733960488242,0.001,0.590057835307078,0.116932732978578,0.195185277973899,86733192.5477016,117.578,36645
10,200,2000,0.000594113398496503,0.001,0.609749380335996,0.117155254524288,0.196546673176794,89695392.5118516,110.664,37796
10,200,2000,0.000541587137807948,0.001,0.627650784907739,0.117250604517158,0.197589734697416,92591434.8399017,108.21,38874
10,200,2000,0.0004937047852839,0.001,0.645139080143211,0.117436205945756,0.198702179998304,95459273.2211224,99.4200000000001,39894
10,200,2000,0.00045005576757005,0.001,0.660837234921509,0.117452703198806,0.199455539161697,98144653.1385927,95.2390000000005,40859
10,200,2000,0.000410265810582719,0.001,0.679427155053704,0.117565764391918,0.200446881982531,100897926.738479,97.0299999999997,41968
10,200,2000,0.000373993730247879,0.001,0.698843293858441,0.118237733563208,0.202255699027579,103459851.112484,91.8670000000002,42922
10,200,2000,0.000340928506974681,0.001,0.715367667309281,0.118612722042102,0.203486094790443,106019400.975629,91.3559999999998,43798
10,200,2000,0.000310786618778201,0.001,0.733957587441476,0.11929541842924,0.205232860360794,108461085.882979,90.4219999999996,44679
10,200,2000,0.000283309610183932,0.001,0.750757367116497,0.119647990870586,0.206401786897348,110822859.77208,92.1260000000002,45567
10,200,2000,0.000258261876068267,0.001,0.765353896998072,0.119766414549529,0.207121429503065,113098258.638583,90.2930000000006,46407
10,200,2000,0.000235428641432242,0.001,0.779950426879647,0.120015256176633,0.208021154693698,115248515.528357,90.0079999999998,47194
10,200,2000,0.000214614119785841,0.001,0.796750206554668,0.120702603471295,0.20964527700279,117215479.538689,91.1169999999993,47936
10,200,2000,0.000195639834351706,0.001,0.80996970531534,0.120949169271262,0.210469817869539,119184896.780376,93.1350000000002,48632
10,200,2000,0.000178343087693191,0.001,0.819608923161663,0.120791476407915,0.210552381626192,121074389.432428,92.0920000000006,49275
10,200,2000,0.000162575566644379,0.001,0.83076287524098,0.121112962479674,0.211406044678055,122815308.991439,90.6030000000001,49813
10,200,2000,0.000148202070579886,0.001,0.841228311759846,0.121200698357273,0.211875281795165,124529601.152751,90.0649999999996,50404
10,200,2000,0.000135099352119803,0.001,0.851005232718259,0.121297768356592,0.212331002731443,126092893.334737,90.5730000000003,50949
10,200,2000,0.000123155060329283,0.001,0.85968052877995,0.12130338475887,0.212607274213322,127666703.92402,91.3159999999998,51466
10,200,2000,0.000112266777351081,0.001,0.868080418617461,0.121436276776083,0.21306654949809,129026518.151119,91.4990000000007,51912
10,200,2000,0.000102341140210545,0.001,0.876755714679152,0.121572596043687,0.213535902337593,130318510.292655,90.0349999999999,52372
10,200,2000,9.32930402628468e-05,0.001,0.883090057835307,0.121499753703914,0.213610019319166,131583058.98468,93.4969999999994,52782
10,200,2000,8.50448934180267e-05,0.001,0.890939135224456,0.121657703734346,0.214082456488651,132759592.846106,89.7819999999992,53182
10,200,2000,7.75259748862946e-05,0.001,0.898375103277334,0.121743673956856,0.21442892358258,133863455.091143,89.6959999999999,53588
