T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,0.00286606761694825,0.001,0.330543933054393,0.246105919003115,0.282142857142857,0.564393939393939,0.284894837476099,0.378653113087675,0.298611111111111,0.341269841269841,0.318518518518519,0.397849661186481,0.290756865916352,0.32643816291635,524779.222351569,2.667,4472
3,65,200,0.00261267522556333,0.001,0.364016736401674,0.254385964912281,0.299483648881239,0.575757575757576,0.280961182994455,0.377639751552795,0.3125,0.347490347490348,0.329067641681901,0.41742477071975,0.294279165132361,0.335397014038645,551254.882900817,2.474,4672
3,65,200,0.00238168555197616,0.001,0.368200836820084,0.254335260115607,0.300854700854701,0.598484848484849,0.279151943462898,0.380722891566265,0.322916666666667,0.334532374100719,0.328621908127208,0.4298674506572,0.289339859226408,0.336733166849391,576143.083932066,2.38200000000001,4860
3,65,200,0.00217111794569451,0.001,0.380753138075314,0.254901960784314,0.305369127516779,0.617424242424242,0.273949579831933,0.379511059371362,0.329861111111111,0.328719723183391,0.329289428076256,0.442679497203556,0.285857087933213,0.338056538321466,604484.258319505,2.52800000000001,5074
3,65,200,0.00197916686785356,0.001,0.384937238493724,0.247978436657682,0.301639344262295,0.636363636363636,0.274061990212072,0.383124287343216,0.34375,0.326732673267327,0.33502538071066,0.455016958285787,0.28292436671236,0.339929670772057,629910.87618752,2.47199999999999,5266
3,65,200,0.00180418640939207,0.001,0.397489539748954,0.245478036175711,0.303514376996805,0.666666666666667,0.278481012658228,0.392857142857143,0.361111111111111,0.326018808777429,0.342668863261944,0.475089105842244,0.283325952537123,0.346346794371964,656667.423687618,2.41500000000001,5468
3,65,200,0.00164467617799466,0.001,0.422594142259414,0.250620347394541,0.314641744548287,0.674242424242424,0.27175572519084,0.387377584330794,0.375,0.330275229357798,0.351219512195122,0.490612188833946,0.284217100647726,0.351079613691401,686610.578504202,2.447,5694
3,65,200,0.00149926843278604,0.001,0.422594142259414,0.243373493975904,0.308868501529052,0.689393939393939,0.27123695976155,0.389304812834225,0.388888888888889,0.327485380116959,0.355555555555556,0.500292323514081,0.280698611284804,0.351242956639611,707005.946828919,2.515,5848
3,65,200,0.00136671635646201,0.001,0.435146443514644,0.239080459770115,0.308605341246291,0.71969696969697,0.272988505747126,0.395833333333333,0.40625,0.330508474576271,0.364485981308411,0.520364471070538,0.280859146697838,0.356308218629345,733505.98567237,2.50699999999999,6048
3,65,200,0.00124588336429501,0.001,0.443514644351464,0.237668161434978,0.30948905109489,0.727272727272727,0.270042194092827,0.393846153846154,0.416666666666667,0.326086956521739,0.365853658536585,0.529151346096953,0.277932437349848,0.356396287825877,754437.379230115,2.474,6206
3,65,200,0.00113573335834311,0.001,0.451882845188285,0.232758620689655,0.307254623044097,0.757575757575758,0.275482093663912,0.404040404040404,0.434027777777778,0.329815303430079,0.374812593703148,0.54782879351394,0.279352005927882,0.362035873595883,779615.981596436,2.386,6396
3,65,200,0.00103532184329566,0.001,0.460251046025105,0.23109243697479,0.307692307692308,0.784090909090909,0.278600269179004,0.411122144985104,0.434027777777778,0.318877551020408,0.367647058823529,0.559456577631264,0.276190085724734,0.36215383716698,802674.264110601,2.51700000000001,6570
3,65,200,0.000943787827777537,0.001,0.506276150627615,0.245934959349594,0.331053351573187,0.787878787878788,0.277333333333333,0.41025641025641,0.440972222222222,0.312807881773399,0.365994236311239,0.578375720242875,0.278692058152109,0.369101332713612,825469.19416721,2.422,6742
3,65,200,0.000860346441668451,0.001,0.514644351464435,0.241650294695481,0.328877005347594,0.803030303030303,0.277850589777195,0.412852969814995,0.465277777777778,0.314553990610329,0.375350140056022,0.594317477424172,0.278018291694335,0.372360038406204,851184.251885528,2.386,6936
3,65,200,0.000784282206133768,0.001,0.527196652719665,0.242307692307692,0.33201581027668,0.814393939393939,0.278497409326425,0.415057915057915,0.486111111111111,0.316742081447964,0.383561643835616,0.609233901074905,0.279182394360694,0.37687845639007,873186.804154443,2.44199999999999,7102
3,65,200,0.000714942898659758,0.001,0.543933054393305,0.244821092278719,0.337662337662338,0.829545454545455,0.279336734693878,0.41793893129771,0.503472222222222,0.315904139433551,0.388219544846051,0.625650243720327,0.280020655468716,0.381273604602033,895190.88332145,2.45400000000001,7268
3,65,200,0.000651733960488242,0.001,0.556485355648536,0.243589743589744,0.338853503184713,0.833333333333333,0.276381909547739,0.415094339622641,0.510416666666667,0.307531380753138,0.383812010443864,0.633411785216178,0.275834344630207,0.379253284417073,918257.556356456,2.339,7442
3,65,200,0.000594113398496503,0.001,0.560669456066946,0.239713774597496,0.335839598997494,0.84469696969697,0.277363184079602,0.417602996254682,0.524305555555556,0.308163265306122,0.388174807197943,0.643223993773157,0.275080074661073,0.38053913415004,940264.329277098,2.377,7608
3,65,200,0.000541587137807948,0.001,0.573221757322176,0.242477876106195,0.340796019900498,0.848484848484849,0.276202219482121,0.416744186046512,0.53125,0.303571428571429,0.386363636363636,0.650985535269008,0.274083841386581,0.381301280770215,959353.993289582,2.376,7752
3,65,200,0.0004937047852839,0.001,0.577405857740586,0.240418118466899,0.339483394833948,0.856060606060606,0.276283618581907,0.417744916820702,0.552083333333333,0.308139534883721,0.395522388059702,0.661849932378175,0.274947090644176,0.384250233238117,977383.534001428,2.40000000000001,7888
3,65,200,0.00045005576757005,0.001,0.594142259414226,0.241086587436333,0.342995169082126,0.867424242424242,0.276570048309179,0.419413919413919,0.555555555555556,0.303030303030303,0.392156862745098,0.672374019131341,0.273562312925272,0.384855317080381,999393.527520771,2.40899999999999,8054
3,65,200,0.000410265810582719,0.001,0.602510460251046,0.23841059602649,0.341637010676157,0.878787878787879,0.277180406212664,0.421435059037239,0.569444444444444,0.304832713754647,0.397094430992736,0.68358092782779,0.273474571997934,0.386722166902044,1022200.28015028,2.333,8226
3,65,200,0.000373993730247879,0.001,0.615062761506276,0.239804241435563,0.345070422535211,0.886363636363636,0.276923076923077,0.42200180342651,0.583333333333333,0.304900181488203,0.400476758045292,0.694919910401082,0.273875833282281,0.389182994669005,1038905.97818362,2.411,8352
3,65,200,0.000340928506974681,0.001,0.635983263598326,0.242811501597444,0.351445086705202,0.886363636363636,0.275294117647059,0.420107719928187,0.590277777777778,0.303030303030303,0.400471142520612,0.704208225913247,0.273711974091602,0.390674649718,1054816.51470452,2.32999999999998,8472
3,65,200,0.000310786618778201,0.001,0.635983263598326,0.23861852433281,0.34703196347032,0.893939393939394,0.276023391812866,0.421805183199285,0.59375,0.298951048951049,0.397674418604651,0.707890885845907,0.271197655032242,0.388837188424752,1072584.80678535,2.34,8606
3,65,200,0.000283309610183932,0.001,0.656903765690377,0.23969465648855,0.351230425055928,0.901515151515151,0.275462962962963,0.421985815602837,0.604166666666667,0.298969072164948,0.4,0.720861861290732,0.271375563872154,0.391072080219588,1094067.88210948,2.352,8768
3,65,200,0.000258261876068267,0.001,0.669456066945607,0.239880059970015,0.353200883002207,0.912878787878788,0.276376146788991,0.424295774647887,0.625,0.303030303030303,0.408163265306122,0.735778284941465,0.273095503263103,0.395219974318739,1110245.5358801,2.43299999999999,8890
3,65,200,0.000235428641432242,0.001,0.682008368200837,0.240412979351032,0.355507088331516,0.916666666666667,0.276887871853547,0.42530755711775,0.625,0.301003344481605,0.406320541760722,0.741225011622501,0.272768065228728,0.395711729069996,1124036.0086303,2.34,8994
3,65,200,0.000214614119785841,0.001,0.690376569037657,0.239477503628447,0.355603448275862,0.920454545454545,0.276765375854214,0.425569176882662,0.642361111111111,0.303776683087028,0.412486064659978,0.751064075201105,0.273339854189896,0.397886229939501,1138888.13466353,2.376,9106
3,65,200,0.000195639834351706,0.001,0.707112970711297,0.241773962804006,0.360341151385928,0.920454545454545,0.276765375854214,0.425569176882662,0.645833333333333,0.302931596091205,0.412416851441242,0.757800283166392,0.273823644916475,0.39944239323661,1153210.07789442,2.40700000000001,9214
3,65,200,0.000178343087693191,0.001,0.723849372384937,0.241620111731844,0.362303664921466,0.924242424242424,0.275395033860045,0.424347826086957,0.652777777777778,0.3008,0.411829134720701,0.766956524801713,0.27260504853063,0.399493541909708,1172573.06519594,2.33000000000001,9360
